,NO TURN FORWARD,REVERSE LONG BACKWARD,REVERSE LONG STOPPED,REVERSE SHORT BACKWARD,REVERSE SHORT STOPPED,SHALLOW TURN FORWARD,SHARP TURN FORWARD,STOP STOPPED
"('REVERSE SHORT BACKWARD', 'REVERSE SHORT BACKWARD')",0.222222222222,0.0,0.0,0.222222222222,0.0555555555556,0.111111111111,0.388888888889,0.0
"('REVERSE SHORT BACKWARD', 'NO TURN FORWARD')",0.411764705882,0.0,0.0,0.117647058824,0.0,0.117647058824,0.117647058824,0.235294117647
"('REVERSE SHORT BACKWARD', 'SHALLOW TURN FORWARD')",0.333333333333,0.0,0.0,0.111111111111,0.0,0.555555555556,0.0,0.0
"('REVERSE SHORT BACKWARD', 'STOP STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE SHORT BACKWARD', 'REVERSE SHORT STOPPED')",0.2,0.0,0.0,0.0,0.6,0.2,0.0,0.0
"('REVERSE SHORT BACKWARD', 'SHARP TURN FORWARD')",0.210526315789,0.0,0.0,0.0526315789474,0.0,0.0,0.736842105263,0.0
"('REVERSE SHORT BACKWARD', 'REVERSE LONG STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE SHORT BACKWARD', 'REVERSE LONG BACKWARD')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('NO TURN FORWARD', 'REVERSE SHORT BACKWARD')",0.166666666667,0.0,0.0,0.416666666667,0.0,0.166666666667,0.25,0.0
"('NO TURN FORWARD', 'NO TURN FORWARD')",0.893525179856,0.0115107913669,0.00287769784173,0.0107913669065,0.0136690647482,0.0395683453237,0.00287769784173,0.0251798561151
"('NO TURN FORWARD', 'SHALLOW TURN FORWARD')",0.210526315789,0.0,0.0,0.0175438596491,0.0,0.754385964912,0.0,0.0175438596491
"('NO TURN FORWARD', 'STOP STOPPED')",0.380952380952,0.0,0.0,0.0,0.0,0.166666666667,0.047619047619,0.404761904762
"('NO TURN FORWARD', 'REVERSE SHORT STOPPED')",0.0,0.0,0.0,0.714285714286,0.285714285714,0.0,0.0,0.0
"('NO TURN FORWARD', 'SHARP TURN FORWARD')",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
"('NO TURN FORWARD', 'REVERSE LONG STOPPED')",0.0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0
"('NO TURN FORWARD', 'REVERSE LONG BACKWARD')",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('SHALLOW TURN FORWARD', 'REVERSE SHORT BACKWARD')",0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
"('SHALLOW TURN FORWARD', 'NO TURN FORWARD')",0.923076923077,0.0128205128205,0.0128205128205,0.0128205128205,0.0128205128205,0.0,0.0128205128205,0.0128205128205
"('SHALLOW TURN FORWARD', 'SHALLOW TURN FORWARD')",0.508620689655,0.0,0.0,0.0,0.0,0.491379310345,0.0,0.0
"('SHALLOW TURN FORWARD', 'STOP STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('SHALLOW TURN FORWARD', 'REVERSE SHORT STOPPED')",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"('SHALLOW TURN FORWARD', 'SHARP TURN FORWARD')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('SHALLOW TURN FORWARD', 'REVERSE LONG STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('SHALLOW TURN FORWARD', 'REVERSE LONG BACKWARD')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('STOP STOPPED', 'REVERSE SHORT BACKWARD')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('STOP STOPPED', 'NO TURN FORWARD')",0.848484848485,0.0,0.0,0.0606060606061,0.030303030303,0.0,0.0,0.0606060606061
"('STOP STOPPED', 'SHALLOW TURN FORWARD')",0.307692307692,0.0,0.0,0.0,0.0,0.692307692308,0.0,0.0
"('STOP STOPPED', 'STOP STOPPED')",0.533333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.266666666667
"('STOP STOPPED', 'REVERSE SHORT STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('STOP STOPPED', 'SHARP TURN FORWARD')",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
"('STOP STOPPED', 'REVERSE LONG STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('STOP STOPPED', 'REVERSE LONG BACKWARD')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE SHORT STOPPED', 'REVERSE SHORT BACKWARD')",0.363636363636,0.0,0.0,0.0909090909091,0.181818181818,0.0909090909091,0.272727272727,0.0
"('REVERSE SHORT STOPPED', 'NO TURN FORWARD')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE SHORT STOPPED', 'SHALLOW TURN FORWARD')",0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
"('REVERSE SHORT STOPPED', 'STOP STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE SHORT STOPPED', 'REVERSE SHORT STOPPED')",0.133333333333,0.0,0.0,0.466666666667,0.333333333333,0.0666666666667,0.0,0.0
"('REVERSE SHORT STOPPED', 'SHARP TURN FORWARD')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE SHORT STOPPED', 'REVERSE LONG STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE SHORT STOPPED', 'REVERSE LONG BACKWARD')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('SHARP TURN FORWARD', 'REVERSE SHORT BACKWARD')",0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
"('SHARP TURN FORWARD', 'NO TURN FORWARD')",0.787234042553,0.0425531914894,0.0212765957447,0.0851063829787,0.0,0.0,0.063829787234,0.0
"('SHARP TURN FORWARD', 'SHALLOW TURN FORWARD')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('SHARP TURN FORWARD', 'STOP STOPPED')",0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667
"('SHARP TURN FORWARD', 'REVERSE SHORT STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('SHARP TURN FORWARD', 'SHARP TURN FORWARD')",0.458333333333,0.0138888888889,0.0,0.0138888888889,0.0,0.0,0.472222222222,0.0416666666667
"('SHARP TURN FORWARD', 'REVERSE LONG STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('SHARP TURN FORWARD', 'REVERSE LONG BACKWARD')",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE LONG STOPPED', 'REVERSE SHORT BACKWARD')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE LONG STOPPED', 'NO TURN FORWARD')",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE LONG STOPPED', 'SHALLOW TURN FORWARD')",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('REVERSE LONG STOPPED', 'STOP STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE LONG STOPPED', 'REVERSE SHORT STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE LONG STOPPED', 'SHARP TURN FORWARD')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE LONG STOPPED', 'REVERSE LONG STOPPED')",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE LONG STOPPED', 'REVERSE LONG BACKWARD')",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE LONG BACKWARD', 'REVERSE SHORT BACKWARD')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE LONG BACKWARD', 'NO TURN FORWARD')",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE LONG BACKWARD', 'SHALLOW TURN FORWARD')",0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
"('REVERSE LONG BACKWARD', 'STOP STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE LONG BACKWARD', 'REVERSE SHORT STOPPED')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('REVERSE LONG BACKWARD', 'SHARP TURN FORWARD')",0.181818181818,0.0,0.0,0.0,0.0,0.0,0.818181818182,0.0
"('REVERSE LONG BACKWARD', 'REVERSE LONG STOPPED')",0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
"('REVERSE LONG BACKWARD', 'REVERSE LONG BACKWARD')",0.0142857142857,0.614285714286,0.0285714285714,0.0,0.0,0.0285714285714,0.314285714286,0.0
